# species: Homo sapiens
# support: EXP, IMP, ISS, ISM, TAS, IEA, HMP, HEP, IDA, IGI, ISO, IGC, NAS, HGI, IPI, IEP, ISA, RCA, IC, HDA
# associations retrieved on: 2021-03-22 22:09:17-04
# gofunc built on: 2018-02-21 10:04:34.764444-05
# gene associations file: ftp://ftp.geneontology.org/pub/go/gene-associations/goa_human.gaf.gz
#   revision: 2018-02-02 $
#   downloaded on: 2018-02-14 09:47:26-05
# GO DAG files from: http://archive.geneontology.org/latest-full/go_201512-termdb-tables.tar.gz
#   downloaded on: 2015-12-22 05:43:21-05
# translation required: yes
# translation info:
#   authority: ensembl
#     synergizer db built on: 2015-11-17 14:24:21.26681-05
#     synergizer db built from: Ensembl Genes 82 / Metazoa Mart / Plant Mart
#   namespace: hgnc_symbol
#   coverage: 99.8%
# size of "genespace": 2326
# number of attributes: 10840
# NOTE: these associations have been restricted to the genes included
# in the user-supplied gene space.
# NOTE: the last record consists of all the entities in the
# "genespace" that are not associated with any attribute (for
# the requested support).
GO:0000002	mitochondrial genome maintenance	LONP1 OPA1 SLC25A4
GO:1902991	regulation of amyloid precursor protein catabolic process	FLOT2 PICALM TMED10
GO:1902992	negative regulation of amyloid precursor protein catabolic process	FLOT2 PICALM
GO:1902993	positive regulation of amyloid precursor protein catabolic process	PICALM
GO:1903003	positive regulation of protein deubiquitination	SART3 VCP
GO:1903004	regulation of protein K63-linked deubiquitination	VCP
GO:1903006	positive regulation of protein K63-linked deubiquitination	VCP
GO:1903007	positive regulation of Lys63-specific deubiquitinase activity	VCP
GO:1903008	organelle disassembly	CDC37 CDK1 CISD2 GBF1 GOLGA2 KIF5B MCTS1 MRRF OPTN SQSTM1 STX5 VRK1
GO:1903010	regulation of bone development	POR
GO:1903018	regulation of glycoprotein metabolic process	ADNP GOLGA2 PAWR PNKP RAB1A XRCC1
GO:1903019	negative regulation of glycoprotein metabolic process	PNKP XRCC1
GO:1903020	positive regulation of glycoprotein metabolic process	GOLGA2 PAWR RAB1A
GO:1903025	regulation of RNA polymerase II regulatory region sequence-specific DNA binding	TMSB4X
GO:1903026	negative regulation of RNA polymerase II regulatory region sequence-specific DNA binding	TMSB4X
GO:1903027	regulation of opsonization	MYO18A
GO:1903028	positive regulation of opsonization	MYO18A
GO:1903031	regulation of microtubule plus-end binding	MAPRE1
GO:1903033	positive regulation of microtubule plus-end binding	MAPRE1
GO:1903034	regulation of response to wounding	ADA C1QBP CCL3 CD47 CD59 CD9 CHID1 CLASP1 DHX9 GSTP1 HPSE MAP2K1 MAPK14 NFKB1 PARK7 PBK PDCD4 PHB PLEK PRKCA PSMA6 PSMB4 RELA RPS19 SRSF6 STK24 STK39 SYK TMSB4X VAMP8 VPS35
GO:1903035	negative regulation of response to wounding	ADA CD9 CHID1 CLASP1 GSTP1 NFKB1 PBK PDCD4 PSMB4 RPS19 VPS35
GO:1903036	positive regulation of response to wounding	CCL3 CD47 DHX9 HPSE PARK7 PDCD4 PLEK RPS19 VAMP8
GO:1903037	regulation of leukocyte cell-cell adhesion	ADA AP3B1 AP3D1 CASP3 CBFB CCDC88B CD44 CD47 CD74 CDC42 CLPTM1 CORO1A CSK DNAJA3 DOCK8 FADD FLOT2 GLMN GRB2 HSPD1 HSPH1 IRF4 LGALS1 LGALS3 MALT1 NCKAP1L PAK1 PAK2 PAWR PNP PRKAR1A PTPN6 RAC2 RASAL3 RPS3 SART1 SASH3 SOD1 SYK TFRC VAV1
GO:1903038	negative regulation of leukocyte cell-cell adhesion	CASP3 CD74 GLMN LGALS3 PAWR PRKAR1A PTPN6
GO:1903039	positive regulation of leukocyte cell-cell adhesion	ADA AP3B1 AP3D1 CCDC88B CD44 CD47 CD74 CDC42 CORO1A CSK DNAJA3 DOCK8 FADD FLOT2 GRB2 HSPD1 HSPH1 LGALS1 MALT1 NCKAP1L PAK1 PAK2 PNP PTPN6 RASAL3 RPS3 SART1 SASH3 SYK TFRC VAV1
GO:1903044	protein localization to membrane raft	FLOT1 FLOT2
GO:1903046	meiotic cell cycle process	ACTR2 ACTR3 CKS2 GOLGA2 HSF1 MSH6 MYH9 NCAPH NSUN2 PPP2R1A PRKAR1A PSMD13 RAD21 SMC2 SMC4 TRIP13
GO:1903047	mitotic cell cycle process	AAAS ACTR1A AKAP8 AKAP8L AKAP9 ARHGEF2 ARL3 ARPP19 BANF1 BAX BCCIP BCL2L1 BUB3 CCNA2 CDK1 CDK5RAP3 CFL1 CHAMP1 CHMP1A CHMP2A CHMP4B CHMP5 CHMP7 CKAP5 CKS1B CKS2 CLASP1 CNOT1 CNOT3 CNOT7 CRLF3 CUL1 CUL2 CUL3 DCTN2 DCTN3 DHFR DNM2 DYNC1H1 DYNC1I2 DYNLL1 EIF4E EMD ENSA FLNA GIGYF2 GOLGA2 GSPT1 HSP90AA1 IK INCENP ITGB1 KHDRBS1 KIF11 KIF23 KIF2A KIFC1 KPNB1 LCMT1 LMNA MAP4 MAPRE1 MCM2 MCM3 MCM4 MCM5 MCM6 MCM7 MDC1 MYH10 NAA50 NAE1 NASP NCAPD2 NCAPG NCAPH NPM1 NUMA1 NUP107 NUP133 NUP153 NUP155 NUP160 NUP205 NUP210 NUP214 NUP35 NUP43 NUP50 NUP54 NUP62 NUP85 NUP88 NUP93 NUP98 OPTN PAFAH1B1 PCM1 PCNA PDCD6IP PDS5A PDS5B PML POGZ POLE3 PPAT PPME1 PPP1CB PPP1R12A PPP2R1A PPP2R2A PPP6C PRCC PRKCA PRKDC PRMT1 PSMA1 PSMA3 PSMA4 PSMA5 PSMA6 PSMA7 PSMB1 PSMB10 PSMB2 PSMB3 PSMB4 PSMB5 PSMB6 PSMB7 PSMB8 PSMB9 PSMC1 PSMC2 PSMC3 PSMC4 PSMC5 PSMC6 PSMD1 PSMD10 PSMD11 PSMD12 PSMD13 PSMD14 PSMD2 PSMD3 PSMD4 PSMD5 PSMD6 PSMD7 PSMD8 PSMD9 PSME1 PSME2 PSME3 PSMF1 PSMG2 RAB8A RAE1 RAN RANBP2 RASA1 RCC1 REEP4 RHOB RPA1 RPA2 RPA3 RPL26 RPS27A RPS27L RPS6 RRM2 RRS1 SBDS SFN SKP1 SMC1A SMC2 SMC4 SON SPC25 SSNA1 STAMBP STMN1 SYF2 TPR TRIP13 TUBA4A TUBB UBE2E1 VPS4A VPS4B VRK1 YWHAE YWHAG ZNF207 ZW10
GO:1903050	regulation of proteolysis involved in cellular protein catabolic process	ALAD BCAP31 BUB3 CCDC22 CDK1 CTSC CUL1 CUL3 DDA1 DDRGK1 FMR1 GLMN HERPUD1 HSP90AB1 HSPBP1 IK OGT PARK7 PBK PDCL3 PML PSMA1 PSMA3 PSMA4 PSMA5 PSMA6 PSMA7 PSMB1 PSMB10 PSMB2 PSMB3 PSMB4 PSMB5 PSMB6 PSMB7 PSMB8 PSMB9 PSMC1 PSMC2 PSMC3 PSMC4 PSMC5 PSMC6 PSMD1 PSMD10 PSMD11 PSMD12 PSMD13 PSMD14 PSMD2 PSMD3 PSMD4 PSMD5 PSMD6 PSMD7 PSMD8 PSMD9 PSME1 PSME2 PSME3 PSMF1 PSMG2 PTK2B RAD21 RAD23A RAD23B RBX1 RNF40 RPL11 RPL23 RPL5 RPS27A RPS7 SCO1 SGTA SKP1 SMARCC1 SUMO1 SUMO2 SVIP TPR TRIP13 UBE2E1 UBE2K UBE2V2 UBXN1 UCHL5 UFL1 USP14 USP19 USP5 USP7 VCP ZNF207
GO:1903051	negative regulation of proteolysis involved in cellular protein catabolic process	ALAD HSP90AB1 IK OGT PARK7 PBK PDCL3 PML PSMF1 PSMG2 RAD21 RPL11 RPL23 RPL5 RPS7 SCO1 SGTA SMARCC1 SVIP TPR TRIP13 UBXN1 USP14 USP19 USP7 ZNF207
GO:1903052	positive regulation of proteolysis involved in cellular protein catabolic process	BCAP31 BUB3 CCDC22 CDK1 CTSC CUL1 CUL3 DDRGK1 FMR1 HERPUD1 HSPBP1 PSMA1 PSMA3 PSMA4 PSMA5 PSMA6 PSMA7 PSMB1 PSMB10 PSMB2 PSMB3 PSMB4 PSMB5 PSMB6 PSMB7 PSMB8 PSMB9 PSMC1 PSMC2 PSMC3 PSMC4 PSMC5 PSMC6 PSMD1 PSMD10 PSMD11 PSMD12 PSMD13 PSMD14 PSMD2 PSMD3 PSMD4 PSMD5 PSMD6 PSMD7 PSMD8 PSMD9 PSME1 PSME2 PSME3 PSMF1 PTK2B RAD23A RBX1 RNF40 RPS27A SGTA SKP1 SUMO1 SUMO2 UBE2E1 UBE2V2 USP5 VCP
GO:1903053	regulation of extracellular matrix organization	CLASP1 HSPA8 PARK7
GO:1903054	negative regulation of extracellular matrix organization	HSPA8
GO:1903055	positive regulation of extracellular matrix organization	CLASP1
GO:1903059	regulation of protein lipidation	RAB3GAP1 RAB3GAP2 SVIP
GO:1903061	positive regulation of protein lipidation	RAB3GAP1 RAB3GAP2 SVIP
GO:1903069	regulation of ER-associated ubiquitin-dependent protein catabolic process	BCAP31 HERPUD1 SGTA SVIP USP14
GO:1903070	negative regulation of ER-associated ubiquitin-dependent protein catabolic process	SGTA SVIP USP14
GO:1903071	positive regulation of ER-associated ubiquitin-dependent protein catabolic process	BCAP31 HERPUD1 SGTA
GO:1903072	regulation of death-inducing signaling complex assembly	PARK7
GO:1903073	negative regulation of death-inducing signaling complex assembly	PARK7
GO:1903076	regulation of protein localization to plasma membrane	ACSL3 AP2M1 APPL1 BCL2L1 CDK5 CIB1 CLTC CSK CSNK2A1 EZR GBP1 ITGB1 KIF5B LYPLA1 LZTFL1 PICALM RHOG SQSTM1 STX7 VAMP8 VPS4A
GO:1903077	negative regulation of protein localization to plasma membrane	AP2M1 BCL2L1 CLTC CSK GBP1 LYPLA1 LZTFL1 PICALM
GO:1903078	positive regulation of protein localization to plasma membrane	ACSL3 CIB1 EZR ITGB1 KIF5B RHOG SQSTM1
GO:1903093	regulation of protein K48-linked deubiquitination	PARK7 UBXN1
GO:1903094	negative regulation of protein K48-linked deubiquitination	PARK7 UBXN1
GO:1903115	regulation of actin filament-based movement	ATP1A1 SRI SUMO1
GO:1903121	regulation of TRAIL-activated apoptotic signaling pathway	PARK7
GO:1903122	negative regulation of TRAIL-activated apoptotic signaling pathway	PARK7
GO:1903135	cupric ion binding	PARK7
GO:1903136	cuprous ion binding	COX17 PARK7
GO:1903146	regulation of mitophagy	ACTL6A DNM1L HAX1 HTRA2 PARK7 RPL28 RUVBL1 TSPO U2AF2 VDAC1 WBP11
GO:1903147	negative regulation of mitophagy	TSPO
GO:1903167	regulation of pyrroline-5-carboxylate reductase activity	PARK7
GO:1903168	positive regulation of pyrroline-5-carboxylate reductase activity	PARK7
GO:1903169	regulation of calcium ion transmembrane transport	CLIC2 FMR1 GSTO1 MYO5A SRI STIM1 SUMO1 YWHAE
GO:1903170	negative regulation of calcium ion transmembrane transport	CLIC2 FMR1 GSTO1 SRI YWHAE
GO:1903176	regulation of tyrosine 3-monooxygenase activity	PARK7
GO:1903178	positive regulation of tyrosine 3-monooxygenase activity	PARK7
GO:1903179	regulation of dopamine biosynthetic process	PARK7 VPS35
GO:1903181	positive regulation of dopamine biosynthetic process	PARK7 VPS35
GO:1903182	regulation of SUMO transferase activity	UBE2I
GO:1903189	glyoxal metabolic process	PARK7
GO:1903195	regulation of L-dopa biosynthetic process	PARK7
GO:1903197	positive regulation of L-dopa biosynthetic process	PARK7
GO:1903198	regulation of L-dopa decarboxylase activity	PARK7
GO:1903200	positive regulation of L-dopa decarboxylase activity	PARK7
GO:1903201	regulation of oxidative stress-induced cell death	FOXO3 HSPH1 HTRA2 NONO NUP93 OXR1 P4HB PARK7 PARP1 PAWR PSAP PYCR1 SFPQ SOD1 TRAP1 TXN
GO:1903202	negative regulation of oxidative stress-induced cell death	HSPH1 HTRA2 NONO NUP93 OXR1 PARK7 PSAP PYCR1 TRAP1 TXN
GO:1903203	regulation of oxidative stress-induced neuron death	NONO OXR1 PARK7 PARP1
GO:1903204	negative regulation of oxidative stress-induced neuron death	NONO OXR1 PARK7
GO:1903205	regulation of hydrogen peroxide-induced cell death	FOXO3 HSPH1 NUP93 PARK7 PAWR PSAP PYCR1 TRAP1 TXN
GO:1903206	negative regulation of hydrogen peroxide-induced cell death	HSPH1 NUP93 PARK7 PSAP PYCR1 TRAP1 TXN
GO:1903207	regulation of hydrogen peroxide-induced neuron death	PARK7
GO:1903208	negative regulation of hydrogen peroxide-induced neuron death	PARK7
GO:1903209	positive regulation of oxidative stress-induced cell death	FOXO3 PARK7 PAWR SFPQ SOD1
GO:1903214	regulation of protein targeting to mitochondrion	ACTL6A CYB5R1 HAX1 HTRA2 HUWE1 MIS18A NPEPPS PDCD5 PSMB7 PSMD8 RAC2 RPL28 RUVBL1 SAE1 SH3GLB1 U2AF2 UBE2L3 UBL5 WBP11 WDR46
GO:1903233	regulation of calcium ion-dependent exocytosis of neurotransmitter	ATP2A2 RAB3GAP1
GO:1903242	regulation of cardiac muscle hypertrophy in response to stress	LMNA
GO:1903243	negative regulation of cardiac muscle hypertrophy in response to stress	LMNA
GO:1903265	positive regulation of tumor necrosis factor-mediated signaling pathway	CASP1 CPNE1
GO:1903273	regulation of sodium ion export	ATP1B3
GO:1903275	positive regulation of sodium ion export	ATP1B3
GO:1903276	regulation of sodium ion export from cell	ATP1B3
GO:1903278	positive regulation of sodium ion export from cell	ATP1B3
GO:1903286	regulation of potassium ion import	ATP1B3
GO:1903288	positive regulation of potassium ion import	ATP1B3
GO:1903293	phosphatase complex	CYCS PPP1CB PPP1R10 PPP1R12A PPP2R1A PPP2R2A PPP4C PPP4R1 PPP4R2
GO:1903294	regulation of glutamate secretion, neurotransmission	RAB3GAP1
GO:1903296	positive regulation of glutamate secretion, neurotransmission	RAB3GAP1
GO:1903297	regulation of hypoxia-induced intrinsic apoptotic signaling pathway	ENO1 HYOU1
GO:1903298	negative regulation of hypoxia-induced intrinsic apoptotic signaling pathway	ENO1 HYOU1
GO:1903299	regulation of hexokinase activity	RANBP2
GO:1903301	positive regulation of hexokinase activity	RANBP2
GO:1903305	regulation of regulated secretory pathway	AP1G1 LAMP1 MICAL1 RAB27A RAC2 STXBP2 SYK VAMP8
GO:1903307	positive regulation of regulated secretory pathway	AP1G1 LAMP1 RAB27A VAMP8
GO:1903308	regulation of chromatin modification	AKAP8 AKAP8L BRD7 CHTOP CTBP1 CTCF DNMT1 FMR1 HMGA1 IWS1 MAPK3 MIER1 NOC2L OGT OTUB1 PAF1 PRKD2 RNF20 RNF40 RTF1 RUVBL2 SART3 SET SIN3A SMARCB1 SNW1 SUPT6H TPR TRIM28 WDR61
GO:1903309	negative regulation of chromatin modification	CTBP1 DNMT1 HMGA1 NOC2L OTUB1 SET SIN3A SMARCB1 SUPT6H
GO:1903310	positive regulation of chromatin modification	AKAP8 AKAP8L BRD7 CHTOP CTBP1 DNMT1 FMR1 MAPK3 MIER1 OGT PAF1 PRKD2 RNF20 RNF40 RTF1 RUVBL2 SART3 SIN3A SMARCB1 SNW1 TPR TRIM28 WDR61
GO:1903311	regulation of mRNA metabolic process	AHCYL1 C1QBP CDC73 CNOT1 CNOT7 DAZAP1 DDX17 DDX5 DHX9 FMR1 GTPBP1 HNRNPA2B1 HNRNPK HNRNPL HNRNPU HSF1 HSPA8 IWS1 JMJD6 KHDRBS1 KHDRBS3 KHSRP LEO1 NCBP1 NCBP2 NUDT21 NUP98 PABPN1 PAF1 PNPT1 PRDX6 PRPF19 PTBP1 RBM10 RBM25 RBM42 RBM8A RNF20 RNF40 RNPS1 SAP18 SF3B4 SMU1 SNRNP70 SNRPA SNW1 SON SRPK2 SRSF3 SRSF4 SRSF6 SRSF7 SRSF9 SUPT5H SUPT6H THRAP3 TIA1 TRA2B U2AF2 UPF1 YTHDC1 ZC3HAV1
GO:1903312	negative regulation of mRNA metabolic process	C1QBP FMR1 HNRNPA2B1 HNRNPK PTBP1 RBM42 RNF20 RNF40 RNPS1 SAP18 SRSF4 SRSF6 SRSF7 SRSF9 SUPT5H TRA2B U2AF2
GO:1903313	positive regulation of mRNA metabolic process	CDC73 CNOT1 CNOT7 DAZAP1 GTPBP1 HSF1 HSPA8 KHSRP LEO1 NCBP1 NCBP2 NUDT21 NUP98 PAF1 PNPT1 PRDX6 PRPF19 SF3B4 SNRNP70 SNW1 THRAP3 TRA2B UPF1 ZC3HAV1
GO:1903317	regulation of protein maturation	C1QBP CAST CD59 ENO1 GLG1 MYH9 PHB SNX12
GO:1903318	negative regulation of protein maturation	CAST CD59 GLG1 SNX12
GO:1903319	positive regulation of protein maturation	ENO1 MYH9 PHB
GO:1903320	regulation of protein modification by small protein conjugation or removal	AIMP2 BUB3 CCDC22 CDK1 CDK5 CDK5RAP3 CUL1 CUL3 DERL1 DNAJA1 GLMN GNL3 GOLGA2 GTPBP4 HERPUD1 HSP90AA1 HSP90AB1 HSPA5 HSPBP1 IK MALT1 OGT OTUB1 PARK7 PDCD6 PDCL3 PIN1 PML PSMA1 PSMA3 PSMA4 PSMA5 PSMA6 PSMA7 PSMB1 PSMB10 PSMB2 PSMB3 PSMB4 PSMB5 PSMB6 PSMB7 PSMB8 PSMB9 PSMC1 PSMC2 PSMC3 PSMC4 PSMC5 PSMC6 PSMD1 PSMD10 PSMD11 PSMD12 PSMD13 PSMD14 PSMD2 PSMD3 PSMD4 PSMD5 PSMD6 PSMD7 PSMD8 PSMD9 PSME1 PSME2 PSME3 PSMF1 PSMG2 PTK2B RAB1A RASSF5 RELA RNF20 RNF40 RPL11 RPL23 RPL5 RPS2 RPS27A RPS3 RPS7 SART3 SGTA SKP1 TOLLIP TPR TRIP13 TSPO U2AF2 UBE2E1 UBE2L3 UBXN1 UFL1 VCP VPS28 WFS1 ZNF207
GO:1903321	negative regulation of protein modification by small protein conjugation or removal	BUB3 CDK1 CDK5 DNAJA1 GLMN GTPBP4 IK OGT OTUB1 PARK7 PDCL3 PML PSMA1 PSMA3 PSMA4 PSMA5 PSMA6 PSMA7 PSMB1 PSMB10 PSMB2 PSMB3 PSMB4 PSMB5 PSMB6 PSMB7 PSMB8 PSMB9 PSMC1 PSMC2 PSMC3 PSMC4 PSMC5 PSMC6 PSMD1 PSMD10 PSMD11 PSMD12 PSMD13 PSMD14 PSMD2 PSMD3 PSMD4 PSMD5 PSMD6 PSMD7 PSMD8 PSMD9 PSME1 PSME2 PSME3 PSMF1 PSMG2 RELA RPL11 RPL23 RPL5 RPS27A RPS3 RPS7 SGTA TPR TRIP13 TSPO U2AF2 UBE2E1 UBXN1 UFL1 VPS28 ZNF207
GO:1903322	positive regulation of protein modification by small protein conjugation or removal	AIMP2 BUB3 CCDC22 CDK1 CDK5RAP3 CUL1 CUL3 DERL1 GNL3 GOLGA2 HSPA5 HSPBP1 MALT1 PDCD6 PIN1 PSMA1 PSMA3 PSMA4 PSMA5 PSMA6 PSMA7 PSMB1 PSMB10 PSMB2 PSMB3 PSMB4 PSMB5 PSMB6 PSMB7 PSMB8 PSMB9 PSMC1 PSMC2 PSMC3 PSMC4 PSMC5 PSMC6 PSMD1 PSMD10 PSMD11 PSMD12 PSMD13 PSMD14 PSMD2 PSMD3 PSMD4 PSMD5 PSMD6 PSMD7 PSMD8 PSMD9 PSME1 PSME2 PSME3 PSMF1 PTK2B RAB1A RASSF5 RNF20 RNF40 RPS2 RPS27A SART3 SKP1 TOLLIP UBE2E1 UBE2L3 VCP WFS1
GO:1903332	regulation of protein folding	HSPA5 PDCD5 SNRNP70
GO:1903333	negative regulation of protein folding	PDCD5 SNRNP70
GO:1903335	regulation of vacuolar transport	SNAPIN VPS35
GO:1903336	negative regulation of vacuolar transport	VPS35
GO:1903337	positive regulation of vacuolar transport	SNAPIN
GO:1903350	response to dopamine	DNM2 GABPA MAPK1 MAPK3 SIN3A
GO:1903351	cellular response to dopamine	DNM2 GABPA MAPK1 MAPK3 SIN3A
GO:1903358	regulation of Golgi organization	AKAP9 DNM2 MAP2K1 MAP2K2 MAPK1 MAPK3 STX5
GO:1903362	regulation of cellular protein catabolic process	ALAD BCAP31 BUB3 CCDC22 CDK1 CDK5RAP3 CTSC CUL1 CUL3 DDA1 DDRGK1 EZR FMR1 GLMN HERPUD1 HSP90AB1 HSPBP1 IK MSN OGT PARK7 PBK PDCL3 PML PSMA1 PSMA3 PSMA4 PSMA5 PSMA6 PSMA7 PSMB1 PSMB10 PSMB2 PSMB3 PSMB4 PSMB5 PSMB6 PSMB7 PSMB8 PSMB9 PSMC1 PSMC2 PSMC3 PSMC4 PSMC5 PSMC6 PSMD1 PSMD10 PSMD11 PSMD12 PSMD13 PSMD14 PSMD2 PSMD3 PSMD4 PSMD5 PSMD6 PSMD7 PSMD8 PSMD9 PSME1 PSME2 PSME3 PSMF1 PSMG2 PTK2B RAD21 RAD23A RAD23B RBX1 RDX RNF40 RPL11 RPL23 RPL5 RPS27A RPS7 SCO1 SGTA SKP1 SMARCC1 SUMO1 SUMO2 SVIP TPR TRIP13 UBE2E1 UBE2K UBE2V2 UBXN1 UCHL5 UFL1 USP14 USP19 USP5 USP7 VCP VPS35 ZNF207
GO:1903363	negative regulation of cellular protein catabolic process	ALAD CDK5RAP3 HSP90AB1 IK OGT PARK7 PBK PDCL3 PML PSMF1 PSMG2 RAD21 RPL11 RPL23 RPL5 RPS7 SCO1 SGTA SMARCC1 SVIP TPR TRIP13 UBXN1 USP14 USP19 USP7 ZNF207
GO:1903364	positive regulation of cellular protein catabolic process	BCAP31 BUB3 CCDC22 CDK1 CTSC CUL1 CUL3 DDRGK1 EZR FMR1 HERPUD1 HSPBP1 MSN PSMA1 PSMA3 PSMA4 PSMA5 PSMA6 PSMA7 PSMB1 PSMB10 PSMB2 PSMB3 PSMB4 PSMB5 PSMB6 PSMB7 PSMB8 PSMB9 PSMC1 PSMC2 PSMC3 PSMC4 PSMC5 PSMC6 PSMD1 PSMD10 PSMD11 PSMD12 PSMD13 PSMD14 PSMD2 PSMD3 PSMD4 PSMD5 PSMD6 PSMD7 PSMD8 PSMD9 PSME1 PSME2 PSME3 PSMF1 PTK2B RAD23A RBX1 RDX RNF40 RPS27A SGTA SKP1 SUMO1 SUMO2 UBE2E1 UBE2V2 USP5 VCP VPS35
GO:1903371	regulation of endoplasmic reticulum tubular network organization	ATL3 RAB3GAP1 RAB3GAP2
GO:1903373	positive regulation of endoplasmic reticulum tubular network organization	ATL3 RAB3GAP1 RAB3GAP2
GO:1903376	regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway	NONO PARK7 PARP1
GO:1903377	negative regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway	NONO PARK7
GO:1903381	regulation of endoplasmic reticulum stress-induced neuron intrinsic apoptotic signaling pathway	HYOU1
GO:1903382	negative regulation of endoplasmic reticulum stress-induced neuron intrinsic apoptotic signaling pathway	HYOU1
GO:1903383	regulation of hydrogen peroxide-induced neuron intrinsic apoptotic signaling pathway	PARK7
GO:1903384	negative regulation of hydrogen peroxide-induced neuron intrinsic apoptotic signaling pathway	PARK7
GO:1903391	regulation of adherens junction organization	CLASP1 CORO1C IQGAP1 RCC2 RDX SLK
GO:1903392	negative regulation of adherens junction organization	CORO1C RCC2 RDX
GO:1903393	positive regulation of adherens junction organization	IQGAP1
GO:1903406	regulation of sodium:potassium-exchanging ATPase activity	DNM2
GO:1903408	positive regulation of sodium:potassium-exchanging ATPase activity	DNM2
GO:1903409	reactive oxygen species biosynthetic process	DDAH2 GBF1 SOD1
GO:1903416	response to glycoside	ATP1A1
GO:1903420	protein localization to endoplasmic reticulum tubular network	GBF1
GO:1903421	regulation of synaptic vesicle recycling	CDK5 DNM1L SH3GL1
GO:1903423	positive regulation of synaptic vesicle recycling	DNM1L
GO:1903426	regulation of reactive oxygen species biosynthetic process	DDAH1 DDAH2 DNM2 FOXO3 GLA HSP90AA1 HSP90AB1 KHSRP PARK7 PTK2B RAB27A STAT3 TRAP1 TSPO
GO:1903427	negative regulation of reactive oxygen species biosynthetic process	GLA KHSRP PARK7 STAT3 TRAP1 TSPO
GO:1903428	positive regulation of reactive oxygen species biosynthetic process	DDAH1 DDAH2 DNM2 FOXO3 HSP90AA1 HSP90AB1 PARK7 PTK2B RAB27A
GO:1903429	regulation of cell maturation	OPA1 PPP2R1A YTHDF2
GO:1903431	positive regulation of cell maturation	OPA1
GO:1903432	regulation of TORC1 signaling	SEC13
GO:1903433	regulation of constitutive secretory pathway	RAB27A
GO:1903435	positive regulation of constitutive secretory pathway	RAB27A
GO:1903436	regulation of mitotic cytokinetic process	NUP62
GO:1903438	positive regulation of mitotic cytokinetic process	NUP62
GO:1903442	response to lipoic acid	GLDC
GO:1903490	positive regulation of mitotic cytokinesis	NUP62
GO:1903504	regulation of mitotic spindle checkpoint	DYNC1LI1 LCMT1 TPR
